,KEY,lot_item_code,lot_cost,lot_date,lot_count,lot_po,lot_count
111111|43225,111111|RB20180505|4,111111,4,2018-05-05,22,RB20180505,22
111111|43199,111111|299092|4.99,111111,4.99,2018-04-09,3,299092,3
111111|43363,111111|324804|5,111111,5,2018-09-20,111,324804,111
111111|43339,111111|321426|10,111111,10,2018-08-27,4,321426,4
111111|43412,111111|333177|10,111111,10,2018-11-08,4,333177,4
111111|43425,111111|335664|10,111111,10,2018-11-21,4,335664,4
BA1001|43190,BA1001|292589B|0,BA1001,0,2018-03-31,3,292589B,3
BA1001|43365,BA1001|325137|3.5,BA1001,3.5,2018-09-22,2,325137,2
BA1001|43339,BA1001|321426|5,BA1001,5,2018-08-27,2,321426,2
BA1002|43190,BA1002|292589B|0,BA1002,0,2018-03-31,2,292589B,2
BA1002|43431,BA1002|337864-B|1.56,BA1002,1.56,2018-11-27,1,337864-B,1
BA1002|43454,BA1002|342752|1.76,BA1002,1.76,2018-12-20,1,342752,1
BA1002|43427,BA1002|336482|2.22,BA1002,2.22,2018-11-23,1,336482,1
BA1002|43428,BA1002|336677|2.22,BA1002,2.22,2018-11-24,1,336677,1
BA1002|43432,BA1002|338009|2.22,BA1002,2.22,2018-11-28,1,338009,1
BA1002|43460,BA1002|343387|2.22,BA1002,2.22,2018-12-26,1,343387,1
BA1002|43526,BA1002|354319|2.22,BA1002,2.22,2019-03-02,3,354319,3
BA1002|43365,BA1002|325137|3.5,BA1002,3.5,2018-09-22,2,325137,2
BA1002|43339,BA1002|321426|5,BA1002,5,2018-08-27,2,321426,2
BA1003|43365,BA1003|325137|3.5,BA1003,3.5,2018-09-22,2,325137,2
BA1004|43190,BA1004|292589B|0,BA1004,0,2018-03-31,2,292589B,2
BA1004|43190,BA1004|292571|0,BA1004,0,2018-03-31,1,292571,1
BA1004|43365,BA1004|325137|3.5,BA1004,3.5,2018-09-22,3,325137,3
BA1004|43339,BA1004|321426|5,BA1004,5,2018-08-27,2,321426,2
BA1004|43454,BA1004|342750|5,BA1004,5,2018-12-20,2,342750,2
BA1006|43190,BA1006|292589B|0,BA1006,0,2018-03-31,1,292589B,1
BA1006|43365,BA1006|325137|3.5,BA1006,3.5,2018-09-22,2,325137,2
BA1006|43339,BA1006|321426|5,BA1006,5,2018-08-27,1,321426,1
BA1007|43365,BA1007|325137|3.5,BA1007,3.5,2018-09-22,2,325137,2
BA1007|43343,BA1007|322048|5,BA1007,5,2018-08-31,4,322048,4
BA1007|43363,BA1007|324804|5,BA1007,5,2018-09-20,1,324804,1
BG-RL|43343,BG-RL|322045|11.25,BG-RL,11.25,2018-08-31,2,322045,2
BG-RL|43343,BG-RL|322050|11.25,BG-RL,11.25,2018-08-31,2,322050,2
BH1000|43146,BH1000|282441|8,BH1000,8,2018-02-15,10,282441,10
BH1000|43268,BH1000|310060-B|8,BH1000,8,2018-06-17,20,310060-B,20
BH1000|43272,BH1000|310818-B|8,BH1000,8,2018-06-21,10,310818-B,10
BH1000|43115,BH1000|276456|11.99,BH1000,11.99,2018-01-15,1,276456,1
BHM1000S|43522,BHM1000S|352283|17.5,BHM1000S,17.5,2019-02-26,1,352283,1
BR1025-M|43365,BR1025-M|325137|7,BR1025-M,7,2018-09-22,2,325137,2
BR1025-M|43430,BR1025-M|337104|7,BR1025-M,7,2018-11-26,4,337104,4
BR1025-M|43339,BR1025-M|321426|10,BR1025-M,10,2018-08-27,5,321426,5
BR1025-M|43363,BR1025-M|324804|10,BR1025-M,10,2018-09-20,1,324804,1
BR1025-M|43446,BR1025-M|341236|10,BR1025-M,10,2018-12-12,2,341236,2
BR1025-M|43220,BR1025-M|LI20180430|14,BR1025-M,14,2018-04-30,1,LI20180430,1
BR1025-M|43115,BR1025-M|276456|16.49,BR1025-M,16.49,2018-01-15,2,276456,2
BR1025-M|43148,BR1025-M|282954|16.49,BR1025-M,16.49,2018-02-17,3,282954,3
BR1025-M|43150,BR1025-M|283256|16.49,BR1025-M,16.49,2018-02-19,4,283256,4
BR1025-M|43160,BR1025-M|285687-C|16.49,BR1025-M,16.49,2018-03-01,3,285687-C,3
BR1025-M|43163,BR1025-M|286266-C|16.49,BR1025-M,16.49,2018-03-04,5,286266-C,5
BR1025-M|43178,BR1025-M|289713|16.49,BR1025-M,16.49,2018-03-19,1,289713,1
BR1025-M|43182,BR1025-M|290600-C|16.49,BR1025-M,16.49,2018-03-23,2,290600-C,2
BR1025-M|43187,BR1025-M|291930|16.49,BR1025-M,16.49,2018-03-28,1,291930,1
BR1025-M|43190,BR1025-M|292582|16.49,BR1025-M,16.49,2018-03-31,1,292582,1
BR1025-S|43229,BR1025-S|301648|5.5,BR1025-S,5.5,2018-05-09,10,301648,10
BR1025-S|43230,BR1025-S|301887|5.5,BR1025-S,5.5,2018-05-10,10,301887,10
BR1025-S|43238,BR1025-S|SW20180518|10,BR1025-S,10,2018-05-18,1,SW20180518,1
BR1025-S|43339,BR1025-S|321426|10,BR1025-S,10,2018-08-27,2,321426,2
BR1025-S|43115,BR1025-S|276456|16.49,BR1025-S,16.49,2018-01-15,2,276456,2
BR1025-S|43148,BR1025-S|282954|16.49,BR1025-S,16.49,2018-02-17,3,282954,3
BR1025-S|43150,BR1025-S|283256|16.49,BR1025-S,16.49,2018-02-19,4,283256,4
BR1025-S|43160,BR1025-S|285687-C|16.49,BR1025-S,16.49,2018-03-01,3,285687-C,3
BR1025-S|43163,BR1025-S|286266-C|16.49,BR1025-S,16.49,2018-03-04,5,286266-C,5
BR1025-S|43178,BR1025-S|289713|16.49,BR1025-S,16.49,2018-03-19,1,289713,1
BR1025-S|43182,BR1025-S|290600-B|16.49,BR1025-S,16.49,2018-03-23,3,290600-B,3
BR1025-S|43190,BR1025-S|292582|16.49,BR1025-S,16.49,2018-03-31,1,292582,1
BR1026-M|43365,BR1026-M|325137|7,BR1026-M,7,2018-09-22,2,325137,2
BR1026-M|43430,BR1026-M|337104|7,BR1026-M,7,2018-11-26,2,337104,2
BR1026-M|43339,BR1026-M|321426|10,BR1026-M,10,2018-08-27,2,321426,2
BR1026-M|43444,BR1026-M|340712|10,BR1026-M,10,2018-12-10,3,340712,3
BR1026-M|43446,BR1026-M|341236|10,BR1026-M,10,2018-12-12,1,341236,1
BR1026-M|43454,BR1026-M|342750|10,BR1026-M,10,2018-12-20,1,342750,1
BR1026-M|43160,BR1026-M|285687-C|11,BR1026-M,11,2018-03-01,2,285687-C,2
BR1026-M|43160,BR1026-M|285687-C|11,BR1026-M,11,2018-03-01,6,285687-C,6
BR1026-M|43163,BR1026-M|286266-C|11,BR1026-M,11,2018-03-04,6,286266-C,6
BR1026-M|43178,BR1026-M|289713|11,BR1026-M,11,2018-03-19,1,289713,1
BR1026-M|43182,BR1026-M|290600-C|11,BR1026-M,11,2018-03-23,2,290600-C,2
BR1026-M|43220,BR1026-M|LI20180430|14,BR1026-M,14,2018-04-30,1,LI20180430,1
BR1026-M|43115,BR1026-M|276456|16.49,BR1026-M,16.49,2018-01-15,2,276456,2
BR1026-S|43242,BR1026-S|304948|5.5,BR1026-S,5.5,2018-05-22,12,304948,12
BR1026-S|43242,BR1026-S|304949|5.5,BR1026-S,5.5,2018-05-22,4,304949,4
BR1026-S|43242,BR1026-S|304949|5.5,BR1026-S,5.5,2018-05-22,1,304949,1
BR1026-S|43365,BR1026-S|325137|7,BR1026-S,7,2018-09-22,2,325137,2
BR1026-S|43430,BR1026-S|337104|7,BR1026-S,7,2018-11-26,5,337104,5
BR1026-S|43444,BR1026-S|340712|10,BR1026-S,10,2018-12-10,3,340712,3
BR1026-S|43446,BR1026-S|341236|10,BR1026-S,10,2018-12-12,2,341236,2
BR1026-S|43454,BR1026-S|342750|10,BR1026-S,10,2018-12-20,1,342750,1
BR1026-S|43115,BR1026-S|276456|16.49,BR1026-S,16.49,2018-01-15,2,276456,2
BR1026-S|43148,BR1026-S|282954|16.49,BR1026-S,16.49,2018-02-17,4,282954,4
BR1026-S|43150,BR1026-S|283256|16.49,BR1026-S,16.49,2018-02-19,3,283256,3
BR1026-S|43160,BR1026-S|285687-C|16.49,BR1026-S,16.49,2018-03-01,3,285687-C,3
BR1026-S|43163,BR1026-S|286266-C|16.49,BR1026-S,16.49,2018-03-04,5,286266-C,5
BR1026-S|43178,BR1026-S|289713|16.49,BR1026-S,16.49,2018-03-19,1,289713,1
BR1026-S|43182,BR1026-S|290600-B|16.49,BR1026-S,16.49,2018-03-23,2,290600-B,2
BR1063-M|43430,BR1063-M|337104-B|2.33,BR1063-M,2.33,2018-11-26,10,337104-B,10
BR1063-M|43430,BR1063-M|337141|3.33,BR1063-M,3.33,2018-11-26,5,337141,5
BR1063-M|43430,BR1063-M|337150|3.33,BR1063-M,3.33,2018-11-26,5,337150,5
BR1063-M|43365,BR1063-M|325137|7,BR1063-M,7,2018-09-22,2,325137,2
BR1063-M|43339,BR1063-M|321426|10,BR1063-M,10,2018-08-27,5,321426,5
BR1063-M|43363,BR1063-M|324804|10,BR1063-M,10,2018-09-20,1,324804,1
BR1063-M|43220,BR1063-M|LI20180430|14,BR1063-M,14,2018-04-30,1,LI20180430,1
BR1063-M|43115,BR1063-M|276456|16.49,BR1063-M,16.49,2018-01-15,5,276456,5
BR1063-M|43160,BR1063-M|285687-C|16.49,BR1063-M,16.49,2018-03-01,3,285687-C,3
BR1063-M|43163,BR1063-M|286266-C|16.49,BR1063-M,16.49,2018-03-04,5,286266-C,5
BR1063-M|43178,BR1063-M|289713|16.49,BR1063-M,16.49,2018-03-19,1,289713,1
BR1063-M|43182,BR1063-M|290600-C|16.49,BR1063-M,16.49,2018-03-23,2,290600-C,2
BR1063-M|43190,BR1063-M|292582|16.49,BR1063-M,16.49,2018-03-31,1,292582,1
BR1063-S|43225,BR1063-S|RB20180505|7.63,BR1063-S,7.63,2018-05-05,1,RB20180505,1
BR1063-S|43238,BR1063-S|SW20180518|10,BR1063-S,10,2018-05-18,1,SW20180518,1
BR1063-S|43160,BR1063-S|285687-C|16.49,BR1063-S,16.49,2018-03-01,4,285687-C,4
BR1063-S|43163,BR1063-S|286266-C|16.49,BR1063-S,16.49,2018-03-04,5,286266-C,5
BR1063-S|43182,BR1063-S|290600-B|16.49,BR1063-S,16.49,2018-03-23,2,290600-B,2
BR1063-S|43187,BR1063-S|291930|16.49,BR1063-S,16.49,2018-03-28,1,291930,1
BR1063-S|43190,BR1063-S|292582|16.49,BR1063-S,16.49,2018-03-31,1,292582,1
